accounts-barclaysglobal,ticket,ART ACCOUNTS FTS,accounts.barclaysglobal.com,SUPPORT-accounts-barclaysglobal,BGI VPO,SOFTWARE,SOFTWARE,ACCOUNTS.BARCLAYSGLOBAL.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
administration,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-administration,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
advantage,ticket,SUPPORT-ADVANTAGE,,SUPPORT-advantage,BGI VPO,SOFTWARE,SOFTWARE,ADVANTAGE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ais,ticket,SUPPORT-AIS,,SUPPORT-ais,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
ais_inception,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
alarmpoint,ticket,ENTERPRISE SYSTEMS MANAGEMENT,AlarmPoint Production Messages,ESM,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
amsx,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
amsx_load,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ap1,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager,ticket,WINDOWS SERVERS AUTOGEN-FTS,NetIQ AppManager Events,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_application,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - applications (not used),Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_backupexec,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - backupexec,Windows On-Call FTS,BGI VPO,SERVERS,BACKUPS,BACKUPEXEC,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_cim,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Compaq Insight Manager,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_exchange,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Exchange messages,Windows On-Call FTS,BGI VPO,MESSAGING,EXCHANGE SERVER,EXCHANGE SERVER,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_helpdesk,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Help Desk related,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_iis,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Internet Information Server,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_isa,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - ISA server,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_nt,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Windows NT,Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_ntadmin,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Windows NT Administrative,Windows On-Call FTS,BGI VPO,SECURITY,ACCOUNT ADMINISTRATION,ACCOUNT ADMINISTRATION,CHANGE,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_sql,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - MS-SQL messages (not used),Windows On-Call FTS,BGI VPO,SERVERS,WINDOWS 2000,RESOURCES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
appmanager_wts,ticket,WINDOWS SERVERS AUTOGEN-FTS,netIQ messages - Windows Terminal Server,Windows On-Call FTS,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
art,ticket,GSS OPS,art,SUPPORT-GSS,BGI VPO,SOFTWARE,SOFTWARE,ART (ACCESS REQUEST TOOL),APPLICATION ACCESS PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
ascot,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-ascot,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
asi,ticket,GSS OPS,asi messages,SUPPORT-GSS,BGI VPO,SOFTWARE,SOFTWARE,ASI (APPLICATION SYSTEM INVENTORY),FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
asi-network,ticket,SUPPORT-ASI (APPLICATION SYSTEM INVENTORY),asi-network for missing ASI Files,SUPPORT-asi network,BGI VPO,SOFTWARE,SOFTWARE,ASI (GLOBAL),FILE MISSING NETWORK,DEFAULT_ASSIGNMENT,GLOBAL 
asm,ticket,GSS OPS,Application Security Model,SUPPORT-GSS,BGI VPO,SOFTWARE,SOFTWARE,ASM (APPLICATION SECURITY MODEL),FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
aust_ftinteractive,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Australia FT Interactive,SUPPORT-aust_ftinteractive,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
autosys,ticket,ENTERPRISE SYSTEMS MANAGEMENT,AutoSys Message Group,SUPPORT-GMD,BGI VPO,SERVERS,JOB PROCESSING,AUTOSYS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
backup,ticket,STORAGE-FTS,Messages related to backup/ restore/ archiving functionality,SUPPORT-STORAGE-FTS,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
barclaysglobal,ticket,SUPPORT-BARCLAYSGLOBAL.COM,,SUP-barclaysglobal,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bep,ticket,SUPPORT-BEP (BARRA  ENTERPRISE PERFORMANCE),bep,SUPPORT-bep,BGI VPO,SOFTWARE,SOFTWARE,BEP,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
bg-aria,ticket,ENTERPRISE SYSTEMS MANAGEMENT,London Business Group,SUPPORT-bg-aria,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT-ARIA,DEFAULT_ASSIGNMENT,GLOBAL 
bg_aus,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Australian Business Group,SUPPORT-bg_aus,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT-AUSTRALIA,DEFAULT_ASSIGNMENT,GLOBAL 
bg_can,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Canada Business group,SUPPORT-bg_can,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT-CANADA,DEFAULT_ASSIGNMENT,GLOBAL 
bgicash,ticket,SUPPORT-BGICASHFUNDS,,SUPPORT-bgicash,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bgicashfunds,ticket,SUPPORT-BGICASHFUNDS,bgicashfunds.com,SUPPORT-bgicashfunds,BGI VPO,SOFTWARE,SOFTWARE,BGICASHFUNDS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
bgiconnect_aus,ticket,SUPPORT-BGICONNECT AUS,bgiconnect_aus,SUPPORT-BGICONNECT AUS,BGI VPO,SOFTWARE,SOFTWARE,BGICONNECT AUS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
bgifunds,ticket,SUPPORT-BGIFUNDS.COM,,SUP-bgifunds.com,BGI VPO,SOFTWARE,SOFTWARE,BGIFUNDS.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
bgis_uk,ticket,ENTERPRISE SYSTEMS MANAGEMENT,bgis_uk,SUP-orbis-uk,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bgis_uk_qa,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis-uk_qa,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bgis_uk_dev,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis-uk_dev,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bidbook,ticket,SUPPORT-BIDBOOK,Bidbook Messages,SUPPORT-bidbook,BGI VPO,SOFTWARE,SOFTWARE,BID BOOK,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
bip,ticket,SUPPORT-BIP,,SUPPORT-bip,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
bms,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-bms,BGI VPO,FACILITIES,HVAC,HVAC,REPAIR,DEFAULT_ASSIGNMENT,RAC1   
candevemail,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Canada Developers Email only,SUPPORT-candevemail,BGI VPO,SOFTWARE,SOFTWARE,CAN INFRASTRUCTURE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
cem,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-cem,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
checkpoint,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-checkpoint,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
citrix,ticket,SUPPORT-CITRIXWEB,Citrix Messages,SUPPORT-citrix,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
client_applications,ticket,SUPPORT-CLIENT APPLICATIONS,client_applications,SUPPORT-client applications,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
com,ticket,SUPPORT-GOT-FTS-COM,com,SUPPORT-com,BGI VPO,SOFTWARE,SOFTWARE,ORDERS ONLINE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
compact,ticket,SUPPORT-COMPACT,CompACT Web Page,SUPPORT-compact,BGI VPO,SOFTWARE,SOFTWARE,COMPACT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
concert,ticket,SUPPORT-CONCERT,Concert Application events,SUPPORT-concert,BGI VPO,SOFTWARE,SOFTWARE,CONCERT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
cp_ms_uk,ticket,SUPPORT-CP_MS_UK,cp_ms_uk                                                                          SUPPORT-cp_ms_uk,BGI VPO,SOFTWARE,SOFTWARE,CP_MS_UK,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
cpdl,ticket,SUPPORT-COMMON PLATFORM DATA LOADER,Common Platform Data Loaders,SUPPORT-cpdl,BGI VPO,SOFTWARE,SOFTWARE,COMMON PLATFORM DATA LOADER,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
cr_uk,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-cr_uk,BGI VPO,SOFTWARE,SOFTWARE,TBD APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
crs,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
crm,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-crs,BGI VPO,SOFTWARE,SOFTWARE,CRM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
crystal_enterprise,ticket,SUPPORT-CLIENT SERVICES,crystal_enterprise,Client Technology-FTS,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
csm,ticket,SUPPORT-CSM (CLIENT SERVICES MANAGEMENT),csm,SUPPORT-csm,BGI VPO,SOFTWARE,SOFTWARE,CSM (CLIENT SERVICES MANAGEMENT),FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
datacenter,ticket,DATA CENTER OPS-AMERICAS,,SUPPORT-datacenter,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
dbspi,ticket,ENTERPRISE SYSTEMS MANAGEMENT,DB-SPI Events,SUPPORT-dbspi,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
delta_uk,ticket,SUPPORT-DELTA-UK,,SUPPORT-delta_uk,BGI VPO,SOFTWARE,SOFTWARE,DELTA_UK,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
desktop_antivirus,ticket,TECH TEAM-FTS,,Tech Team-FTS,BGI VPO,SOFTWARE,SOFTWARE,ANTIVIRUS,REPAIR,TECH TEAM-FTS,GLOBAL 
dev_rpt,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
devicequery,ticket,SUPPORT-DEVICEQUERY,Marimba Device Query,SUPPORT-devicequery,BGI VPO,SOFTWARE,SOFTWARE,DEVICEQUERY,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
devnet,ticket,SUPPORT-DEVNET,devnet,SUPPORT-devnet,BGI VPO,SOFTWARE,SOFTWARE,DEVNET,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
documentum,ticket,SUPPORT-DOCUMENTUM,,SUPPORT-documentum,BGI VPO,SOFTWARE,SOFTWARE,DOCUMENTUM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
dynamo,ticket,SUPPORT-ATG DYNAMO,,SUPPORT-dynamo,BGI VPO,SOFTWARE,SOFTWARE,ATG DYNAMO,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
eat,ticket,SUPPORT-EAT (EMERGENCY ACCESS TOOL),Emergency Access Tool,SUPPORT-eat,BGI VPO,SOFTWARE,SOFTWARE,EAT (EMERGENCY ACCESS TOOL),FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
emc_alarms,ticket,ENTERPRISE SYSTEMS MANAGEMENT,EMC_Alarms,SUPPORT-emc_alarms,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
equilend,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-equilend,BGI Equilend,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
equilend_b,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Equilend_B,SUP-equilend_b,BGI Equilend,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
esm,ticket,ENTERPRISE SYSTEMS MANAGEMENT,enterprise systems management related messages,z_ESM,BGI VPO,SERVERS,ENTERPRISE SYSTEMS MANAGEMENT,VPO,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
esm-notify,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,z_ESM,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
eshed_uk,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,z_ESM,BGI VPO,SOFTWARE,SOFTWARE,TBD APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
etf,ticket,SUPPORT-ETF,,SUPPORT-etf,BGI VPO,SOFTWARE,SOFTWARE,ETF,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
fids,ticket,SUPPORT-FIXED INCOME DATA,Fixed Income Data Support,SUPPORT-fids,BGI VPO,SOFTWARE,SOFTWARE,FIDS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
flextrade,ticket,SUPPORT-FLEXTRADE,,SUPPORT-flextrade,BGI VPO,SOFTWARE,SOFTWARE,FLEXTRADE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gaa_aasg,ticket,SUPPORT-GAA AASG AUTOGEN,,SUPPORT-gaa_aasg,BGI VPO,SOFTWARE,SOFTWARE,GAA AASG,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
